mom_50,mom_51,mom_52,mom_53,mom_54,mom_55,mom_56,mom_57,mom_58,mom_59,mom_60,mom_61,mom_62,mom_63,mom_64,mom_65,mom_66,mom_67,mom_68,mom_69,mom_70,mom_71,mom_72,mom_73,mom_74
3.528474274292365,3.4632872421697387,2.9857850755350466,2.6611525379845578,2.2391575756506024,2.4664987154513245,2.2323242621874058,2.324163684396537,2.2641385807780905,2.2354717423280235,2.284753117932492,2.201557001055338,1.6179518327332634,1.7032620952570119,1.8270868584188942,2.131665787057437,2.091304124434709,1.9135123849975604,1.8943645237709754,2.1121786608521744,2.285191365683596,2.3882912338055204,2.2651102845913806,1.8226059963733146,1.3876094166194133
1.813315938775519,1.943358261083133,2.021125023834917,2.119205304126079,2.275993376364635,2.212624381307612,2.1352693041711146,2.0755297812638185,2.1354532416953464,2.1084364389260144,2.490885274324621,2.7875712560677512,2.970677769882695,3.1806034090106103,3.454876531366846,3.7425943043100527,3.3170833404770774,2.9322102425695,2.4786893717884353,1.5901905187271244,1.7885232611755706,1.6099045611814407,1.502198641526867,1.2729046802364463,1.0316917203089493
1.998709653425121,1.8602402863525218,1.8451514611603004,1.5133795602814901,1.4311131177500247,1.365914671817346,1.5172983492937044,1.67028714871502,2.032971838908478,2.229247252433878,2.7691730389737623,3.127294176078861,3.4008436681666825,3.9122673924171583,4.293426377438609,4.863828066101578,4.257105054712308,3.7220876776419805,2.7401743648177526,2.463833852738166,2.182563091532426,1.813447141140622,1.6737154000930978,1.685895936237721,1.500093486921043
1.8699822864370594,1.730834599494671,1.5994524595547128,1.4505751878182778,1.2114232800134317,1.2665485660282865,1.4594120336090446,1.4998741268227922,1.7509313592094373,2.00990114069645,2.4945051463618912,2.7679628781078223,3.3174232784111553,3.649610522884533,4.35489195604259,4.974423700486217,4.38132547047407,3.3760139505420175,2.7494854353451723,2.1158859144706637,1.8622821316067153,1.7498784643846237,1.4831070084220777,1.524526375112211,1.3273388462982827
2.2885345834648483,2.4029287112034923,2.27434784796475,2.1515024576502926,1.9888712664018253,1.9686960646629894,2.0128595274429077,2.158907694202039,2.217755651785291,2.257699447467078,2.5676634647597907,3.2916498079830947,3.7954001232325307,4.552521430321585,5.218178741898086,6.512779178063455,5.794013933773907,4.666035026692013,3.562913871864488,2.496913835814102,2.1424563781839305,1.8300226234329233,1.5373844359960427,1.4033033236699777,1.295976881780119
1.9672918303821283,1.9971164746985592,1.7946048052259094,1.5369008630549112,1.3849156759147956,1.2007382501263444,1.3783889929834958,1.5036157295492765,1.8455613530630441,2.0619071577765506,2.574580546422575,2.8483480809650676,2.836096168371266,3.0440513378106053,3.3800502432744426,3.725123827800141,3.665690263265383,2.955152449026063,2.363722344165214,1.8482385778683534,1.710429728064382,1.722738080036168,1.4482510700187572,1.5336102970140628,1.3041826967860277
2.516661374505994,2.371136794799585,2.15581958457992,1.8785733493997383,1.7454694989962438,1.7019323732723455,1.7709748115398696,1.8273782688661588,2.1736148788588747,2.538253946723634,2.961155173564128,3.325879251592376,3.2779957113561813,3.628822137082183,3.740841117524147,4.2009752094350405,3.8085724364906564,3.1279991669592775,2.7229729222928305,2.1973441903127298,2.0606858685140033,2.055552078253423,1.955342278830305,2.064203577214169,1.7010132792439037
3.3782794253531345,2.8688709861365584,2.3014772339077036,1.6132317536534668,1.4588303837641574,1.3519352264707984,1.0716766010010967,1.2969320859408777,1.213026734857567,1.1935509197230305,1.5187362451436999,1.543957023807666,1.629606256547078,1.5984980651882237,1.8609267067994861,2.456601244481461,2.4629779509058225,2.3930620854045226,2.2055817796610806,2.1617997337414927,2.306048166349608,2.5374242916810816,2.5785624434958345,2.429582576143463,2.1581469484823317
1.6198933078230338,1.6873277630733312,1.5412053023656103,1.6105411998278212,1.8804087532093308,1.876014366881059,1.809021180632227,1.8453856951826328,1.8733725971878585,2.156891582966099,2.346061821475156,2.6208728237515606,2.7943216406370706,3.194922726151062,3.90765312457414,4.611721095348885,4.343284703205229,3.5756887493502845,3.096616537229675,2.5649384926177845,2.160530854485134,2.0097255278770425,1.7811603562873766,1.6069203055210233,1.34541062695893
2.191964293227712,2.1307720897247484,1.9142563567854733,1.8610874242454047,1.739932674051048,1.6308359865549873,1.6218434435921671,1.6026489916779103,1.7509236113718167,1.856263334494244,2.2203516600523288,2.257452781193617,2.4796103566151895,2.6291408210379816,2.7911643625764904,3.3260834003169646,3.301000364104547,2.9862468930974084,2.6888624474610636,2.3646424016314307,2.168445132222897,1.8040436311498873,1.8411402031456985,1.7126966839035471,1.436906281531638
